No,KABKOTA,IP11,IK11,IDB11,LPE11,AHH11,AMH11,RLS11,INRLS11,PPP11,INPPP11,IPM11,INDAMH11,LPP11,TPT11,LPE11,PM07,PM08,PM09,PM10,TPT07,TPT08,TPT09,TPT10,LPDRB07,LPDRB08,LPDRB09,LPDRB10,LPDRB11
1,Bogor,81.16,73.18,629.81,5.96,69.28,95.09,7.99,53.27,631.63,62.78,72.57,95.09,1.47,10.73,5.96,13.1,12.11,10.81,9.97,14.26,13.6,11.24,10.64,6.05,5.58,4.14,5.09,5.96
2,Sukabumi,80.71,70.63,628.72,4.07,67.38,97.35,6.9,46,629.72,62.33,71.07,97.35,1.69,9.47,4.07,15.98,13.26,11.78,10.65,10.85,8.94,7.95,9.89,4.19,3.37,4.18,3.97,4.07
3,Cianjur,80.62,68.91,616.98,4.74,66.35,97.64,6.85,45.67,617.59,59.53,69.59,97.64,1.75,10.15,4.74,18.49,15.38,14.14,14.32,13.82,11.73,10.35,11.21,4.18,4.04,3.93,4.42,4.74
4,Bandung,73.49,84.64,641.81,5.94,69.1,98.75,8.46,56.4,642,65.17,74.44,98.75,1.51,10.42,5.94,13.14,9.42,8.29,9.3,17.37,15.09,12.27,10.69,5.92,5.3,4.49,5.88,5.94
5,Garut,82.48,68.34,637.77,5.48,66,98.96,7.37,49.13,638.77,64.43,71.7,98.96,1.66,8.9,5.48,19.31,17.87,15.7,13.94,12.18,10.98,8.56,7.75,4.76,4.69,5.57,5.3,5.48
6,Tasikmalaya,81.63,71.97,633.39,4.32,68.18,98.92,7.33,48.87,634.06,63.34,72.51,98.92,1.62,8.29,4.32,18.15,14.7,13.5,12.79,8.48,8.02,6.81,7.79,4.33,4.02,4.15,4.27,4.32
7,Ciamis,81.47,70.77,633.16,5.11,67.47,97.93,7.47,49.8,631.63,62.78,71.82,97.93,1.81,8.86,5.11,13.94,12.32,11.23,10.34,4.39,6,6.31,5.12,5.01,4.95,4.92,5.07,5.11
8,Kuningan,79.61,70.98,633.82,5.43,67.59,96.99,7.22,48.13,632.44,62.96,71.55,96.99,1.53,9.01,5.43,17.58,16.75,15.91,14.68,10.56,9.58,9.61,7.87,4.22,4.28,4.51,4.87,5.43
9,Cirebon,76.84,67.37,634.69,5.03,65.41,92.41,6.87,45.8,635.25,63.61,69.28,92.41,1.79,10.18,5.03,19.07,20.25,18.22,16.12,13.64,13.36,13.87,12.97,5.35,4.91,5.08,5.21,5.03
10,Majalengka,78.77,69.36,636.73,4.67,66.62,95.11,7.17,47.8,635.71,63.72,70.81,95.11,1.72,7.8,4.67,19.77,18.79,17.12,15.52,7.46,7.13,6.74,5.82,4.87,4.57,4.73,4.63,4.67
11,Sumedang,83.04,70.87,636.99,4.82,67.52,97.75,7.94,52.93,638.36,64.33,72.67,97.75,1.82,8.04,4.82,15.63,15.18,13.69,12.94,7.83,8.96,9.76,7.9,4.64,4.58,4.76,4.22,4.82
12,Indramayu,70.03,70.38,637.47,4.89,67.23,85.66,5.95,39.67,638.98,64.47,68.4,85.66,1.74,10.11,4.89,20.96,19.75,17.99,16.58,10.45,10.05,10.27,11.29,2.65,5.34,3.7,3.21,4.89
13,Subang,77.27,74.23,632.76,4.45,69.54,92.47,6.94,46.27,633.46,63.2,71.5,92.47,1.84,9.1,4.45,16.84,15.15,14.13,13.54,7.51,9.27,7.76,8.72,4.85,4.74,4.63,4.32,4.45
14,Purwakarta,80.63,70.58,635.21,6.4,67.35,96.07,7.44,49.6,635.21,63.6,71.59,96.07,1.59,9.48,6.4,14.7,11.61,10.48,10.57,12.76,11.89,10.33,9.54,4.02,4.87,5.28,5.98,6.4
15,Karawang,77.81,70.05,632.04,7.39,67,93.22,7.02,46.8,633.04,63.1,70.28,93.22,1.63,10.06,7.39,14.83,14,12.9,12.21,17.02,15.23,14.34,14.88,6.36,10.84,7.39,8.85,7.39
16,Bekasi,81.45,74.53,637.76,6.26,69.73,94.14,8.6,57.33,637.76,64.19,73.54,94.14,1.07,10.27,6.26,66.6,5.89,5.97,6.11,15.12,13.29,10.37,9.03,6.14,6.07,5.04,6.18,6.26
